Input-Sample	CMC	END	LYM	SMC	MAC	RBC	ADI	P-value	Pearson-Correlation	RMSE
SRR1435982	0.028835274681865235	0.11487194059780094	0.011648297475187714	0.6912099071192268	0.07385766135300487	0	0.07957691877291438	0	0.6269136817077804	0.9950135868912463
SRR1068832	0.007644367367224724	0.07673272456132761	0.028432852521037045	0.4826869428424262	0.32150936578158457	0	0.08299374692639985	0	0.6272252078987125	0.9955972691980596
SRR1404555	0.05628184660425717	0.06243976140657038	0.012116445812334384	0.3127776139274239	0.06364504555716609	0	0.49273928669224804	0	0.49623228645510387	0.993150813946482
SRR1354071	0.015179447823077044	0.08886061394741139	0.017679605299120157	0.6470922428484878	0.22868213563413547	0.0025059544477682226	0	0	0.523644479861333	0.9948185050976793
SRR1417154	0.013457801390568527	0.05593150128445267	0.010471263294486237	0.2993156275060384	0.0752994392821159	0	0.5455243672423382	0	0.2947858467142862	0.9956619374795174
SRR1472057	0.025284476210599142	0.08577907454906128	0.02520253820121975	0.5164786704380706	0.26223928687687115	0	0.08501595372417813	0	0.6490664288068396	0.9954841769367363
SRR1081473	0.0008	0.11418672899347418	0.0219250330329341	0.6432463770980446	0.19780580805977174	0	0.02200345059776686	0	0.6898724919410851	0.994907000390862
SRR1406936	0.07416873585944814	0.0961569335705874	0.015968031888816656	0.5536938391789712	0.15131347374221502	0	0.10869898575996159	0	0.5980838127939162	0.9957632487826295
SRR1327933	0	0.11920168584669484	0.022193950583546264	0.4368269439591089	0.14836877458989045	0	0.27340864502075957	0	0.28195161418649756	0.9975190800692068
SRR1376228	0.01988559917464355	0.0512841252550932	0.013182375752359404	0.2994672052259579	0.09248257278812211	0	0.5236981218038238	0	0.34333777120423925	0.9950877143236105
SRR1362906	0.015651845715001854	0.10853633648694418	0.024400277495908868	0.5185526563872028	0.15317480598818642	0	0.17968407792675578	0	0.364815598651198	0.9972046228077226
SRR1315434	0.0856645442516217	0.07208513924723067	0.013074357081329493	0.41780494623404557	0.11031765667297112	0	0.30105335651280146	0	0.42106474467853355	0.9959973412622369
SRR1074116	0	0.06512149152137982	0.0362886005119539	0.28600442673625925	0.4028455655831738	0	0.2097399156472332	0	0.408094333459352	0.9966795187764788
SRR1091119	0.02234651225928544	0.11394067003962051	0.014926645901678316	0.7068539684907397	0.0980966328918425	0	0.0438355704168336	0	0.6359278745678738	0.9950027063990704
SRR1420169	0.038750183905555784	0.11244957915334938	0.030995600590517196	0.5470086817504269	0.2529754769865427	0.0004	0.01738008615955312	0	0.5361740987839381	0.9963768646149904
SRR1442800	0.02382424113849085	0.10115948720161183	0.010698836476292885	0.6075749773373493	0.050948751988129676	0	0.20579370585812545	0	0.4715258757075489	0.9958345944226087
SRR1367566	0.030435781155722177	0.1030791126419589	0.017790502201682542	0.46546479511973127	0.10499488189181648	0	0.2782349269890887	0	0.4707556720576818	0.9956167020058784
SRR1365791	0.013568620007752025	0.07978997772267594	0.012620292490702376	0.473015038164372	0.08513941098266191	0	0.3358666606318358	0	0.4008639027322407	0.9957700092298398
SRR1079330	0.00958587767280035	0.061217172716904356	0.010470734698337815	0.34712189396257115	0.06547401669398435	0	0.506130304255402	0	0.3849031976053464	0.9945751638067468
SRR1396166	0.03741349164219398	0.09179453324937865	0.017484113121193398	0.5250011915844165	0.1598087951193961	0	0.1684978752834214	0	0.47102184643939715	0.9963911438707372
SRR1090145	0.01910114166222578	0.06094624973436306	0.009186211793556975	0.8314830177201566	0.06691080036794442	0	0.012372578721753114	0	0.7441463829474074	0.993304231001473
SRR1441355	0.036201056188868035	0.057865463172640255	0.008939831676513627	0.3570599898476942	0.047926331542825974	0	0.4920073275714579	0	0.3027334222093809	0.9958863800098544
SRR1380231	0.03012324351546429	0.1010482658367213	0.019347464898498527	0.5036241743644279	0.16891436141474817	0	0.17694248997013992	0	0.5584972724570321	0.9956798451537302
SRR1073923	0.03753064125962744	0.09202978352334226	0.01462382012764053	0.7020902150875235	0.0996348783272569	0	0.054090661674609346	0	0.6487882684373908	0.9948862981492261
SRR1348839	0.02068487943199598	0.06669871728968578	0.02878050895894904	0.33283781380201527	0.3381928724572017	0	0.2128052080601522	0	0.47611925762915625	0.9961760892912205
SRR1102680	0.02604870873499218	0.09603292366763919	0.026757239812949595	0.48170449468462906	0.2671192532617686	0	0.10233737983802149	0	0.5647278279242219	0.9961299489328309
SRR1437035	0.029444863736792466	0.08548227476370478	0.0214595610425753	0.6593863923869919	0.20422690806993554	0	0	0	0.6900291520683721	0.9948398001142793
SRR1079189	0.015883294133928298	0.06537572949213878	0.009196801124934047	0.38226886259930815	0.057740176868180934	0	0.46953513578150985	0	0.3297956988453564	0.9956482491833701
SRR1093218	0	0.0638293350639116	0.012191390340917095	0.371519404964435	0.09135143947708242	0	0.46110843015365394	0	0.37896199983854145	0.9950516849023278
SRR813471	0.007501951537074431	0.06414258789744998	0.011096334671490715	0.3850751356244214	0.08079134504089941	0	0.45139264522866407	0	0.34999033921087375	0.995516575742728
SRR819583	0.008503459890967974	0.12002409269011435	0.026204781327514498	0.590043373030249	0.230937306851472	0	0.02428698620968215	0	0.7119202305507527	0.9949907716494624
SRR1362848	0.009330961065270146	0.11507398229563061	0.0176029590151042	0.699065796557257	0.094515424745094	0.0001	0.0643381447994672	0	0.44731730172740475	0.9965147799571928
SRR1317257	0.03493661502610267	0.10790798407722023	0.017482510801555384	0.580012303055492	0.11540667150753679	0	0.1442539155320929	0	0.3282490773645452	0.9975544464975882
SRR1327855	0.010546521439588242	0.08694551303937242	0.026745076948500087	0.46395558966733436	0.27745481248855286	0	0.1343524864166521	0	0.6170648597786196	0.99553737441415
SRR1089375	0.00318811104374908	0.09551850790299148	0.015908216083135217	0.7034356849907702	0.15528658554530164	0	0.0266628944340523	0	0.6805738127394234	0.994654079246757
SRR1088606	0.014492505381212871	0.12576002363840158	0.02531431129826274	0.6034653482261751	0.19728879195722018	0	0.033679019498727494	0	0.6620165169903212	0.9953363288904172
SRR1338195	0.0053621134044273405	0.05772056821917345	0.01266301085811668	0.25897902356181585	0.06302349865888521	0	0.6022517852975815	0	0.2375989103853538	0.9962493373872952
SRR1332928	0.017456145323951996	0.08500285183269311	0.027394843425434343	0.5394134623162015	0.26914500242448824	0	0.061587694677230805	0	0.6348636608055822	0.9955769019524682
SRR1093906	0.004939482158919043	0.05072764024175483	0.01264842899255369	0.24860141894499246	0.08009955247391597	0	0.602983477187864	0	0.8136118768679439	0.9863943406516698
SRR1360299	0.09947015519745749	0.08682449271502078	0.019070348521820768	0.512423462145049	0.13098962441180967	0	0.1512219170088423	0	0.4302478755834541	0.9969145849997555
SRR1091890	0.02111151506496402	0.0586883940192245	0.012180660245890753	0.29869861607602033	0.07521552061911357	0	0.5341052939747869	0	0.2465463583862556	0.9964875216469414
SRR1464517	0.01062427972103371	0.10822790267100067	0.029953906482244542	0.5587782520325133	0.22973266268765352	0	0.06268299640555416	0	0.5897724976883624	0.9959150951217003
SRR1472214	0.08370424172685609	0.11564404820753628	0.019541161396053996	0.49149477274870823	0.024508566853858934	0	0.2651072090669864	0	0.33645260999338195	0.9969795413150939
SRR1468553	0.03962840843663362	0.08123213330223539	0.017501068222641917	0.48449770240517254	0.1236966646894102	0	0.2534440229439064	0	0.4362552596968758	0.9961233311426527
SRR1079502	0.00127888451015933	0.11004213447917958	0.01997840799203681	0.6666811454488782	0.20135112931728885	0	0.0007	0	0.7139585901830806	0.9946008256866192
SRR1489092	0.013091474612511728	0.08692186392313007	0.015190408252480503	0.4919739246946936	0.12412873953152265	0	0.26869358898566137	0	0.4804322191561956	0.9955301597386577
SRR1500732	0.020478946138478987	0.08132266663306195	0.025092527803816298	0.401340174118882	0.24707531953495593	0	0.22469036577080492	0	0.47207945743857216	0.9961486047869971
SRR1081543	0.13462435691942437	0.0935203254810488	0.012435053670684164	0.5393927971165585	0.08980669563519637	0	0.13022077117708786	0	0.47109291894093874	0.9966751236669513
