Input Sample,CardiacMuscleCell,EndothelialCell,Lymphocytes,Fibroblast,Macrophage,Erythrocyte,FatCell,SmoothMuscleCell,P-value,Pearson Correlation,RMSE
SRR1074790,0,0,0,0.3698505075247636,0,0.0004,0.027152236358234452,0.6025679368236552,0.29292929292929293,0.45471799237946836,0.9273649209259032
SRR1394125,0,0,0,0.31090962826675395,0,0,0.27694388437534195,0.4121464873579041,0.13131313131313133,0.6290379882239624,0.9147629085445296
SRR1098450,0,0,0,0.2683859506810372,0,0,0.2802260346852772,0.45138801463368566,0.2727272727272727,0.48890716756219055,0.9334151083394194
SRR1079404,0,0,0.0001,0.35267073111275943,0.0001,0.0002,0.1860790707555574,0.4608498848699575,0.13131313131313133,0.6243634602942237,0.9098801497983994
SRR1500931,0,0.003580130612044723,0.03450567905825339,0.23638268496568546,0.32976375117816525,0,0.02685530352970686,0.36891245065614425,0.12121212121212122,0.6651250913232768,0.9222766764418207
SRR1078465,0,0,0,0.14708854453284562,0,0,0.42773894428532483,0.4251725111818296,0.16161616161616163,0.5811789380664976,0.9292344606767574
SRR1479699,0,0.08255587469416382,0.04011275591900439,0,0.2990217738529111,0.30823300161689543,0.007860283057515226,0.26221631085951,0.010101010101010102,0.8146229387105972,0.5854357463947223
SRR1309403,0,0,0.0010675082420739724,0.3872677594048216,0,0,0.050162331683639025,0.5615024006694656,0.18181818181818182,0.543044736112597,0.9142490788434898
SRR1475885,0.003156808791357489,0.08474967154690963,0.009261840474951754,0.43501446484321166,0.04274264245060895,0,0.0018679188000793046,0.42320665309288125,0.010101010101010102,0.8343774370825495,0.8752892222643867
SRR1468469,0.009351905534311462,0,0.028691593654048053,0.19527149420413484,0.2594698143022102,0,0.12203783193271873,0.3851773603725766,0.18181818181818182,0.5607361657776071,0.9365507118590124
SRR1105320,0,0,0,0.27437878857762726,0,0,0.1358650327443325,0.5897561786780403,0.1919191919191919,0.5323738115480408,0.9215851703095425
SRR1485380,0,0.003738882539198118,0.03592538191109131,0.17551062172613408,0.3453975946061576,0,0.09077313177376053,0.3486543874436584,0.12121212121212122,0.6799054445236246,0.9263448620805692
SRR1071313,0,0.0021358165707992967,0.001972047712574704,0.38910050308209604,0.0005,0.0002,0.019439564965646194,0.5866031592223279,0.1414141414141414,0.607288706899975,0.9025231654190476
SRR1340010,0.697418595013296,0,0,0.12829387700746478,0,0.030492348624783443,0,0.14379517935445577,0.30303030303030304,0.4325458857245944,0.9250845783243001
SRR1414079,0,0,0,0.15130035702290784,0,0,0.5362866753308261,0.3124129676462661,0.09090909090909091,0.7119779345920905,0.9183119547691235
SRR1472749,0.003714067955404308,0.0038971528716083303,0.03006378806208255,0.20100156257474913,0.2515209875555293,0.1418153060205651,0.0302706540609078,0.3377164808991534,0.1717171717171717,0.5737277162586075,0.8256641068838048
SRR1467792,0.010973490838972505,0.0022166550772017087,0.01925266801814315,0.33918771029209915,0.16614217188062425,0,0.005099891055092877,0.45712741283786634,0.0707070707070707,0.7271114468823409,0.9010829926414149
SRR1417588,0,0.1157255352378425,0.025206739491228206,0.21275674880169662,0.20155728391777716,0,0.2792156627206907,0.16553802983076477,0.13131313131313133,0.6353407376066628,0.9397747013852225
SRR812036,0.007149844982759327,0.003720184063996058,0.022440541908975608,0.1702448299776823,0.16219206252375573,0,0.007867506317314874,0.6263850302255161,0.12121212121212122,0.6493419130077248,0.914507725288554
SRR1360420,0.011804570173298373,0,0,0.05046624398762712,0,0,0.15041286899782144,0.7873163168412531,0.15151515151515152,0.5909900921867142,0.9180686248552999
SRR1487993,0.00566432626007766,0,0.02040292965257254,0.24847482769807622,0.169826732939863,0,0.00618753080031958,0.549443652649091,0.1717171717171717,0.5691043461017783,0.9232131457806895
SRR1421444,0.9374300959732057,0,0.011338216885937996,0.02288294552077041,0,0,0.01148472622079233,0.01686401539929361,0.41414141414141414,0.3286788474546141,0.9380458339032832
SRR661278,0.031335457949473296,0.10270671072600937,0.021366122264454508,0.29283720425180004,0.1355184298081504,0.03415769980631537,0,0.38207837519379706,0.3434343434343434,0.3975186865300813,0.940306872905578
SRR1098312,0.08587021390084514,0,0,0.3889711823179087,0,0,0,0.5251586037812461,0.13131313131313133,0.6260776443881515,0.9044081923528651
SRR1476736,0.0044254515151927855,0,0.015613719767440868,0.13451549925925121,0.1489992033552321,0,0.04481114415440429,0.6516349819484788,0.1414141414141414,0.6118219266898545,0.9201766210645551
SRR808172,0,0.001053939476305852,0.001646478634137652,0.44810423558791435,0.0004,0,0.012234236369943285,0.5365225770785914,0.1414141414141414,0.6172094804130186,0.8992059227074621
SRR1349099,0,0.12811851926850978,0.0038244598458373968,0.3945005692807278,0.0007,0,0.001,0.4718959222430055,0,0.8561414457596616,0.8706115013003696
SRR1350609,0.017923711226516557,0,0,0.31291862213687566,0,0.0004,0.00345035566064236,0.6652680220393384,0.21212121212121213,0.5229784558221173,0.9173760352237984
SRR1446050,0,0,0,0.2141204346218993,0,0.06848625569254806,0,0.7173933096855527,0.42424242424242425,0.3214973932729799,0.9360724256750346
SRR1435982,0,0,0,0.3891312125218555,0,0,0.16929484539832007,0.4415739420798244,0.18181818181818182,0.542462946946779,0.9199642898306957
SRR1068832,0,0.0041049906597352285,0.03591351652402599,0.082895555616355,0.33103310166337985,0,0.030177759596301396,0.5158750759402025,0.0707070707070707,0.7223816225062458,0.9193253013080421
SRR1404555,0.009129493407745805,0.10940540597197758,0.013648595203173186,0.33021452976841464,0.07959133707240894,0,0.13173941520556756,0.32627122337071235,0.020202020202020204,0.8026239590861428,0.901560665954567
SRR1354071,0.003483084889651087,0.003392448580034368,0.011579965995789357,0.2398983382800015,0.054207799810663294,0,0.005054005445630171,0.6823843569982302,0.1717171717171717,0.5768411351280702,0.913999251401918
SRR1417154,0.005030063255254225,0,0.010916077025186533,0.2345658394304114,0.08274365839855563,0,0.2677124497856665,0.3990319121049257,0.12121212121212122,0.6536601686944925,0.9211337776574416
SRR1472057,0.0036241414688009373,0.0035449387448454003,0.027858520664893045,0.2923612160562273,0.24158730282888466,0,0.011602387478355328,0.4194214927579933,0.13131313131313133,0.6264580285317269,0.9203969491899566
SRR1081473,0.0009,0,0.017340470687468704,0.2613954278577498,0.14829048423912297,0,0.014480973561999693,0.5575599565535716,0.1717171717171717,0.5707758497405522,0.9213867210831006
SRR1406936,0.005566491697806326,0,0,0.35610529422082077,0,0,0.06438385800184042,0.5739443560795325,0.1717171717171717,0.5706826885785263,0.9114992527560739
SRR1327933,0,0.03899316967916155,0.019878909052027754,0.1456053855196024,0.15451492065789618,0,0.4578103289700811,0.183197286121231,0.08080808080808081,0.7147776485591549,0.9326051307903354
SRR1376228,0.002262765128991773,0,0.015372273257984362,0.24814690220310426,0.13290481960629583,0,0.2183136439125346,0.38299959589108923,0.13131313131313133,0.6335493183484735,0.9244751271577429
SRR1362906,0,0,0.013392021845991467,0.2658526690349347,0.10359655682511408,0,0.12550952374133864,0.49164922855262105,0.16161616161616163,0.5794816791091185,0.9230636880964067
SRR1315434,0,0,0.012160278047916202,0.14116813631262554,0.10939584879581454,0,0.343767956594645,0.39350778024899874,0.18181818181818182,0.5672708734083158,0.9364988163992164
SRR1074116,0,0.01045436551671512,0.036577580383803814,0.1403788137960309,0.3561154840443376,0,0.20724351189455936,0.2492302443645532,0.0707070707070707,0.7280179644485693,0.9291938071519118
SRR1091119,0.0033544438578999277,0,0.010190647293650308,0.3272347907712123,0.052906098469727374,0,0.011040089883699745,0.5952739297238103,0.18181818181818182,0.5525778391452936,0.9161603084912887
SRR1420169,0,0.006873166407688585,0.03677756451878015,0.339374822755842,0.3149988308708212,0,0.0004,0.3015504685205806,0.18181818181818182,0.5394461146329218,0.9325665186700349
SRR1442800,0,0,0.0012046297689376634,0.45751853675604165,0.0005,0,0.032913756977671974,0.5078193950607762,0.15151515151515152,0.5926088194919404,0.9042186824601799
SRR1367566,0,0,0,0.13876120857713917,0,0.0002,0.45995539895072063,0.4010844959902715,0.1414141414141414,0.6117770015082153,0.9270442454763881
SRR1365791,0,0,0.0008,0.42314429737151,0,0,0.13689516030793838,0.4391692386415554,0.0707070707070707,0.7320382994037098,0.8894708076511818
SRR1079330,0,0,0.0002,0.37307982450133964,0,0,0.22946833128494942,0.39727195700843704,0.020202020202020204,0.8107562907237067,0.8858978814074704
SRR1396166,0.004913340564976484,0,0.016997772489183164,0.24543576486492802,0.15259329899138013,0,0.15677563527926522,0.423284187810267,0.12121212121212122,0.660481748037823,0.919837229134639
SRR1090145,0.003017701619436164,0,0,0.40146483146659395,0,0,0.002753748342599396,0.5927637185713704,0.1717171717171717,0.5735690617767139,0.9067671351285692
SRR1441355,0,0,0,0.21672496836682886,0,0,0.3771605532657435,0.40611447836742753,0.18181818181818182,0.544312812479556,0.9308477526262482
SRR1380231,0.0016547751764037235,0.0020963276886548374,0.018181994507080575,0.3197347168675519,0.1564772030903369,0,0.06855866622868462,0.43329631644128747,0.13131313131313133,0.626025765928922,0.9172689924738759
SRR1073923,0.012061095006438012,0.004656674154718733,0.0028196003452413227,0.32192215493297544,0.0009,0,0.005996637693975727,0.6515953767146117,0.18181818181818182,0.5577030216256154,0.911936875592681
SRR1348839,0,0,0.03673243110649674,0.19839110789846426,0.3652656678378139,0,0.05201319121585681,0.34759760194136835,0.09090909090909091,0.7119766841640678,0.9207040848537166
SRR1102680,0.0009,0,0.020917106142961647,0.24418063223987535,0.22014181058724208,0,0.08595701007644962,0.4279287982695609,0.18181818181818182,0.5689790634618493,0.9301462905197956
SRR1437035,0.014341499583529375,0,0,0.3190941689101576,0,0,0.0008,0.6657544618824235,0.2222222222222222,0.5065059535970279,0.9194822104161587
SRR1079189,0,0.11707452215857171,0.003336701874145803,0.3552937992333543,0.0006,0,0.13003019633223975,0.39364538245882,0.010101010101010102,0.8186847188678645,0.8879223731768977
SRR1093218,0.0008,0.0030262199560888,0.013347835380762558,0.14015366669794496,0.06700001691462643,0,0.2315101034299842,0.5441904635743983,0.12121212121212122,0.6914598669104155,0.9150835875527243
SRR813471,0,0,0,0.372091141064261,0,0,0.15122164041433658,0.4766872185214024,0.18181818181818182,0.538380571840252,0.9199838177209804
SRR819583,0,0.0021567262559515532,0.01702713878186242,0.3450795181413468,0.13812087416222302,0,0.03255105584875407,0.4650646868098622,0.1414141414141414,0.613246701189054,0.9147184840708642
SRR1362848,0,0,0,0.31925654022041716,0,0.0004,0.01913337801697633,0.6611801685711377,0.23232323232323232,0.4992396044287406,0.9206615333857833
SRR1317257,0,0.041793453596870415,0,0.2559593211125851,0,0.16228147719368155,0.15697210227622088,0.3829936458206421,0.2828282828282828,0.46723238698123776,0.869838382774512
SRR1327855,0.0001,0.00405809674422697,0.029455865610793244,0.16623743879199998,0.2479367875857543,0,0.12533509901634704,0.42682815658568846,0.10101010101010101,0.6998615439862605,0.9222259734283951
SRR1089375,0.0002,0,0,0.33013799116545745,0,0.0004,0.015859765359921073,0.6534029670638958,0.21212121212121213,0.525787325245359,0.9161641033865774
SRR1088606,0,0.11268760348375467,0.018474375256512354,0.33272046247566894,0.13313829845188366,0,0,0.40297926033218034,0.010101010101010102,0.8324815021426593,0.891419336993104
SRR1338195,0,0.0137443196192066,0,0.1337828998074989,0,0,0.6832914157463548,0.16918136482693966,0.0707070707070707,0.7292769994015755,0.9198016602815073
SRR1332928,0.0021504180649888757,0,0.03588986182859887,0.16112406726693942,0.34179387772208564,0,0.012905348761163376,0.4461364263562237,0.13131313131313133,0.6342036100750484,0.9264619614807219
SRR1093906,0,0.009645799021460615,0.005416711436075087,0.07441491410665703,0.02725840273806178,0,0.7750217392357363,0.10824243346200921,0,0.846396009393392,0.9096917392589362
SRR1360299,0.0024129769071431395,0.002391462222345632,0.01394393220411993,0.37753271482502654,0.08722483131803357,0,0.014012520830078583,0.5024815616932526,0.15151515151515152,0.589311661679357,0.9127529798672794
SRR1091890,0,0.05815077679083987,0.023384867655908973,0.37757348795110957,0.16116908129777283,0,0.1180834512100573,0.26163833509431145,0.29292929292929293,0.4373577781956902,0.9442432290030797
SRR1464517,0,0.06705602709806824,0.038634536900463846,0.25362222050993327,0.2571247492901089,0.053546783666410504,0,0.3300156825350151,0.30303030303030304,0.4210736628253917,0.927517586872206
SRR1472214,0,0,0,0.4174205376787678,0,0,0.14891723059759365,0.43366223172363855,0.15151515151515152,0.5988012839146448,0.9102752422885941
SRR1468553,0,0,0.0002,0.40702018035800186,0,0,0.16369511389957345,0.42912007292434845,0.1919191919191919,0.5323736773506541,0.9208787785471665
SRR1079502,0.0008,0,0.015135091229855808,0.2675467006464627,0.12073580125730989,0,0.02806218377659737,0.5676966291723814,0.18181818181818182,0.5579986027432594,0.9218477248193394
SRR1489092,0.0008,0.11330955322543887,0.009110903437712618,0.3109052294681955,0.04172599728771463,0,0.09449802400515248,0.4296367452524423,0.0707070707070707,0.7552942011419536,0.8997688624003418
SRR1500732,0,0.0030269046585241627,0.026440459235992274,0.24824919886376273,0.24122628188935696,0,0.13325652405971383,0.34780063129264993,0.12121212121212122,0.6896651324037184,0.9214938350667332
SRR1081543,0,0,0,0.3836292394037016,0,0.18445340226868986,0.06617856272169877,0.3657387956059097,0.21212121212121213,0.5254825769862438,0.8382190377215839
